,property_name,link,area,address
56,4 Bedroom House for sale in Sector 48 Gurgaon,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-vipul-tatvam-villa-sector-48-gurgaon-4000-sq-ft-spid-K69830898,(372 sq.m.) Plot Area,"Sector 48 Gurgaon, Gurgaon, Haryana"
57,4 Bedroom House for sale in Sector 55 Gurgaon,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-55-gurgaon-1449-sq-ft-spid-L70105542,(135 sq.m.) Plot Area,"Sector 55 Gurgaon, Gurgaon, Haryana"
58,4 Bedroom House for sale in Sector 91 Gurgaon,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-dlf-new-town-heights-sector-91-gurgaon-3400-sq-ft-spid-A68671054,(316 sq.m.) Plot Area,"Sector 91 Gurgaon, Gurgaon, Haryana"
59,4 Bedroom House for sale in Sector 86 Gurgaon,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-dlf-new-town-heights-2-sector-86-gurgaon-3400-sq-ft-spid-I68670824,(316 sq.m.) Plot Area,"Sector 86 Gurgaon, Gurgaon, Haryana"
60,4 Bedroom House for sale in Sector 86 Gurgaon,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-dlf-new-town-heights-2-sector-86-gurgaon-2800-sq-ft-r1-spid-W66972060,(297 sq.m.) Plot Area,0
61,8 Bedroom House for sale in B1 Block Sector 57 Gurgaon,https://www.99acres.com/8-bhk-bedroom-independent-house-villa-for-sale-in-b1-block-sector-57-gurgaon-1449-sq-ft-spid-W69913580,(135 sq.m.) Plot Area,0
62,6 Bedroom House for sale in DLF Phase 1,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-dlf-city-phase-1-gurgaon-4518-sq-ft-spid-Z69661544,(420 sq.m.) Plot Area,0
63,6 Bedroom House for sale in Sushant Lok Phase 3,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-ansal-sushant-residency-sushant-lok-phase-3-gurgaon-2700-sq-ft-spid-K69632360,(251 sq.m.) Plot Area,0
64,6 Bedroom House for sale in Sushant Lok Phase 3,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-ansals-florence-villa-sushant-lok-phase-3-gurgaon-3450-sq-ft-spid-X69488470,(321 sq.m.) Plot Area,0
65,4 Bedroom House for sale in DLF Phase 4,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-dlf-city-phase-4-gurgaon-2844-sq-ft-spid-A69428298,(264 sq.m.) Plot Area,0
66,8 Bedroom House for sale in Uppals Southend,https://www.99acres.com/8-bhk-bedroom-independent-house-villa-for-sale-in-uppals-southend-gurgaon-2880-sq-ft-spid-A68250960,(268 sq.m.) Plot Area,0
67,6 Bedroom House for sale in Uppals Southend,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-uppal-southend-uppals-southend-gurgaon-2880-sq-ft-spid-V68250404,(268 sq.m.) Plot Area,0
68,4 Bedroom House for sale in Sector 48 Gurgaon,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-vipul-tatvam-villa-sector-48-gurgaon-360-sq-ft-spid-D70180330,(33 sq.m.) Plot Area,0
69,4 Bedroom House for sale in Malibu Town,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-malibu-town-gurgaon-576-sq-ft-spid-I70178342,(54 sq.m.) Plot Area,0
70,5 Bedroom House for sale in Sector 33 Gurgaon,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-unitech-uniworld-resorts-sector-33-gurgaon-4518-sq-ft-r3-spid-H66359240,(420 sq.m.) Plot Area,0
71,5 Bedroom House for sale in DLF Phase 1,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-dlf-city-phase-1-gurgaon-4500-sq-ft-spid-T69775462,(418 sq.m.) Plot Area,0
72,3 Bedroom House for sale in South City 1,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-dlf-south-city-1-south-city-1-gurgaon-1800-sq-ft-spid-Q69713444,(201 sq.m.) Plot Area,0
73,5 Bedroom House for sale in Sector 111 Gurgaon,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-puri-diplomatic-greens-sector-111-gurgaon-8000-sq-ft-r1-spid-F63418044,(743 sq.m.) Built-up Area,"A1212, Sector 111 Gurgaon, Gurgaon, Haryana"
74,3 Bedroom House for sale in Sector 40 Gurgaon,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-40-gurgaon-900-sq-ft-spid-R70119090,(84 sq.m.) Plot Area,"Sector 40 Gurgaon, Gurgaon, Haryana"
75,5 Bedroom House for sale in Sector 109 Gurgaon,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-international-city-by-sobha-phase-2-sector-109-gurgaon-5027-sq-ft-to-7331-sq-ft-npspid-D69499692,(467-681 sq.m.) Built-up Area,"Sector 109 Gurgaon, Gurgaon, Haryana"
